"source","r_nominal","C_nominal","M","Q","C_effective","r_effective","phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","theoretical_delta","theoretical_coverage","normalized_error","normalized_theory","oracle_minus_grid_coverage","paired_mcse","normalized_paired_loss","normalized_paired_theory"
"relative grid",1.2,0.632455532033676,20,51,0.625,1.18585412256314,0.2,1024,0.416666666666667,0.52704627669473,0.94286,-0.00713999999999992,0.000733996051760498,0,1.60416666666667,0.944257573010632,1.26148535513701,1.01456408263735,0.00075,0.000404099007620756,0.132508965875738,0.014564082637355
"relative grid",1.3,0.685160159703149,22,46,0.6875,1.30443953481946,0.2,1024,0.416666666666667,0.52704627669473,0.9429,-0.0071,0.000733754659269705,0,1.63731060606061,0.944138927824902,1.25441821029032,1.03552615046044,0.00071,0.000433239928871243,0.125441821029032,0.0355261504604407
"relative grid",1.4,0.737864787372622,24,42,0.75,1.42302494707577,0.2,1024,0.416666666666667,0.52704627669473,0.94193,-0.00806999999999991,0.000739580118039959,0,1.68055555555556,0.943984124106377,1.42579647282292,1.06287665800104,0.00168,0.00045953660108731,0.296820083561653,0.0628766580010385
"relative grid",1.5,0.790569415042095,25,40,0.78125,1.48231765320393,0.2,1024,0.416666666666667,0.52704627669473,0.94122,-0.00878000000000001,0.000743807176625771,0,1.70520833333333,0.943895874687276,1.55123829385197,1.07846844368659,0.00239,0.000484195439313749,0.422261904590685,0.078468443686591
"relative grid",1.6,0.843274042711568,27,37,0.84375,1.60090306546024,0.2,1024,0.416666666666667,0.52704627669473,0.94133,-0.00866999999999996,0.000743154298244988,0,1.75945216049383,0.943701698344153,1.53180364552352,1.11277525225292,0.00228,0.000494318176385003,0.402827256262243,0.112775252252924
"relative grid",1.7,0.895978670381041,29,35,0.90625,1.71948847771656,0.2,1024,0.416666666666667,0.52704627669473,0.94062,-0.00937999999999994,0.000747355441540369,0,1.81914511494253,0.943488015788703,1.65724546655255,1.15052839151744,0.00299,0.00046756046146766,0.528269077291275,0.150528391517439
"relative grid",1.8,0.948683298050514,30,34,0.9375,1.77878118384471,0.2,1024,0.416666666666667,0.52704627669473,0.93982,-0.01018,0.000752052974197962,0,1.85069444444444,0.943375078819626,1.79858836348668,1.17048193949288,0.00379,0.000459954861464411,0.669611974225395,0.170481939492879
"relative grid",1.9,1.00138792571999,32,32,1,1.89736659610103,0.2,1024,0.416666666666667,0.52704627669473,0.93933,-0.01067,0.000754911591512543,0,1.91666666666667,0.943138918402314,1.88516088785882,1.21220643639788,0.00428,0.000480436389328746,0.756184498597544,0.212206436397879
"relative grid",2,1.05409255338946,34,30,1.0625,2.01595200835734,0.2,1024,0.416666666666667,0.52704627669473,0.93848,-0.01152,0.000759837414188062,0,1.9859068627451,0.942891059636157,2.03533771585133,1.25599778144678,0.00513,0.000454795447854301,0.906361326590047,0.255997781446779
"C = 1",1.89736659610103,1,32,32,1,1.89736659610103,0.2,1024,0.416666666666667,0.52704627669473,0.93933,-0.01067,0.000754911591512543,0,1.91666666666667,0.943138918402314,1.88516088785882,1.21220643639788,0.00428,0.000480436389328746,0.756184498597544,0.212206436397879
"relative grid",0.5,0.263523138347365,17,240,0.265625,0.503988002089335,0.2,4096,0.416666666666667,0.52704627669473,0.94611,-0.00388999999999995,0.000714043891508078,0,1.96706495098039,0.946479253964359,1.3745596726843,1.2440811101171,0.00053,0.000299496390597416,0.187279338437709,0.2440811101171
"relative grid",0.6,0.316227766016838,20,204,0.3125,0.592927061281571,0.2,4096,0.416666666666667,0.52704627669473,0.94661,-0.00339,0.000710911442445542,0,1.80208333333333,0.946774545879349,1.19788105151667,1.13973757335235,3e-05,0.000313848651438492,0.010600717270059,0.139737573352353
"relative grid",0.7,0.368932393686311,24,170,0.375,0.711512473537885,0.2,4096,0.416666666666667,0.52704627669473,0.94648,-0.00351999999999997,0.000711727543375975,0,1.67361111111111,0.947004491548836,1.24381749302025,1.05848460569525,0.00016,0.000314961483371158,0.0565371587736481,0.0584846056952493
"relative grid",0.8,0.421637021355784,27,151,0.421875,0.800451532730121,0.2,4096,0.416666666666667,0.52704627669473,0.94651,-0.00348999999999999,0.000711539316552501,0,1.62046682098765,0.94709961171692,1.2332167757502,1.02487320541067,0.00013,0.00031638715525179,0.0459364415035891,0.0248732054106662
