"design_id","scenario_id","innovation","innovation_label","assumption_status","phi","phi_label","N","M","Q","L","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi015_N729_M9_Q81","gaussian_phi015_N729","gaussian","Gaussian","inside formal moment assumptions",0.15,"phi = 0.15",729,9,81,4,100000,0,0.30690537084399,0.262252042520564,-0.0446533283234255,0.349517707004936,0.966306214656339,0.971192166872871,0.00488595221653165,0.0383677669899675,0,0,0
"gaussian_phi015_N729_M27_Q27","gaussian_phi015_N729","gaussian","Gaussian","inside formal moment assumptions",0.15,"phi = 0.15",729,27,27,12,100000,0,0.30690537084399,-0.127886042365921,-0.434791413209911,2.13339036122994,0.989049519337075,1.00434787274639,0.0152983534093122,0.075717968370944,1e-05,0.00154,0
"gaussian_phi015_N729_M81_Q9","gaussian_phi015_N729","gaussian","Gaussian","inside formal moment assumptions",0.15,"phi = 0.15",729,81,9,12,100000,0,0.30690537084399,-0.127886042365921,-0.434791413209911,2.13339036122994,0.996630621334485,1.00133780699889,0.00470718566440342,0.0232978364218289,1e-05,0.00154,0.00379
"gaussian_phi020_N729_M9_Q81","gaussian_phi020_N729","gaussian","Gaussian","inside formal moment assumptions",0.2,"phi = 0.20",729,9,81,4,100000,0,0.416666666666667,0.373976026127669,-0.0426906405389972,0.321610423867432,0.954249137293835,0.958923727974662,0.00467459068082654,0.0353167661062714,0,0,0
"gaussian_phi020_N729_M27_Q27","gaussian_phi020_N729","gaussian","Gaussian","inside formal moment assumptions",0.2,"phi = 0.20",729,27,27,12,100000,0,0.416666666666667,0.00329185187829662,-0.41337481478837,2.07265445599175,0.985130961912387,0.999681608818758,0.0145506469063712,0.0735941313533399,0,0.00127,0
"gaussian_phi020_N729_M81_Q9","gaussian_phi020_N729","gaussian","Gaussian","inside formal moment assumptions",0.2,"phi = 0.20",729,81,9,12,100000,0,0.416666666666667,0.00329185187829662,-0.41337481478837,2.07265445599175,0.995424911357658,0.999902033482695,0.0044771221250377,0.02264434810872,0,0.00127,0.00372
"gaussian_phi025_N729_M9_Q81","gaussian_phi025_N729","gaussian","Gaussian","inside formal moment assumptions",0.25,"phi = 0.25",729,9,81,4,100000,0,0.533333333333333,0.489721582755174,-0.0436117505781594,0.295700422906018,0.941429712814481,0.946209237473161,0.00477952465868059,0.0324829100005612,0,0,0
"gaussian_phi025_N729_M27_Q27","gaussian_phi025_N729","gaussian","Gaussian","inside formal moment assumptions",0.25,"phi = 0.25",729,27,27,12,100000,0,0.533333333333333,0.127379991221174,-0.405953342112159,2.02276792928687,0.980964583142674,0.995264699399784,0.0143001162571098,0.0718611685838488,0,8e-04,0
"gaussian_phi025_N729_M81_Q9","gaussian_phi025_N729","gaussian","Gaussian","inside formal moment assumptions",0.25,"phi = 0.25",729,81,9,12,100000,0,0.533333333333333,0.127379991221174,-0.405953342112159,2.02276792928687,0.994142948659284,0.998542984430703,0.00440003577141845,0.0221111287950304,0,8e-04,0.00393
"gaussian_phi030_N729_M9_Q81","gaussian_phi030_N729","gaussian","Gaussian","inside formal moment assumptions",0.3,"phi = 0.30",729,9,81,4,100000,0,0.659340659340659,0.60897613453936,-0.0503645248012993,0.271237805878674,0.927580314419047,0.933104753510883,0.00552443909183642,0.0298061558797927,0,0,0
"gaussian_phi030_N729_M27_Q27","gaussian_phi030_N729","gaussian","Gaussian","inside formal moment assumptions",0.3,"phi = 0.30",729,27,27,12,100000,0,0.659340659340659,0.282831923836038,-0.376508735504622,1.94546853860169,0.976463133119088,0.98973104807335,0.0132679149542625,0.0691498985398721,0,0.00071,0
"gaussian_phi030_N729_M81_Q9","gaussian_phi030_N729","gaussian","Gaussian","inside formal moment assumptions",0.3,"phi = 0.30",729,81,9,12,100000,0,0.659340659340659,0.282831923836038,-0.376508735504622,1.94546853860169,0.992757887113565,0.996840322484108,0.00408243537054231,0.0212768918584222,0,0.00071,0.0039
"gaussian_phi035_N729_M9_Q81","gaussian_phi035_N729","gaussian","Gaussian","inside formal moment assumptions",0.35,"phi = 0.35",729,9,81,4,100000,0,0.797720797720798,0.731107281519799,-0.0666135162009986,0.250540308696716,0.912369717951498,0.919679398578553,0.00730968062705462,0.0275399328015685,0,0,0
"gaussian_phi035_N729_M27_Q27","gaussian_phi035_N729","gaussian","Gaussian","inside formal moment assumptions",0.35,"phi = 0.35",729,27,27,12,100000,0,0.797720797720798,0.417909925580688,-0.379810872140109,1.88370594473887,0.971517885437751,0.98492036223695,0.0134024767991991,0.0669892621539002,0,0.00062,0
